,Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
0,Bi-LSTM,1,32,50,0.0039,0.8544,1818.2355,0.0319
1,Bi-LSTM,1,64,100,0.004,0.8505,1818.1294,0.0322
2,Bi-LSTM,1,32,50,0.0038,0.8569,1818.5729,0.0322
3,Bi-LSTM Sent,1,32,50,0.0062,0.864,2372.5026,0.045
4,Bi-LSTM Sent,1,64,50,0.0072,0.8421,2549.3159,0.0481
5,Bi-LSTM Sent,1,32,100,0.0085,0.8122,2718.877,0.0503
6,CNN,2,32,100,0.0053,0.805,2176.2315,0.0388
7,CNN,3,32,50,0.0066,0.7574,2343.2402,0.0406
8,CNN,3,32,100,0.009,0.6677,2872.4324,0.051
9,CNN Sent,1,64,50,0.013,0.7127,3419.3494,0.0625
10,CNN Sent,1,64,50,0.0137,0.6966,3482.7358,0.0636
11,CNN Sent,1,32,50,0.0197,0.5649,4117.5252,0.0741
12,CNN-LSTM,1,32,50,0.0036,0.8652,1870.7309,0.0328
13,CNN-LSTM,1,32,50,0.0041,0.848,1868.4641,0.0333
14,CNN-LSTM,2,32,50,0.0045,0.8324,1999.1691,0.0349
15,CNN-LSTM Sent,1,32,50,0.0126,0.7223,3315.4044,0.0607
16,CNN-LSTM Sent,1,64,50,0.0124,0.7257,3387.69,0.0617
17,CNN-LSTM Sent,2,32,50,0.0124,0.7318,3335.4028,0.0619
18,GRU,1,64,50,0.004,0.8509,1863.4976,0.0327
19,GRU,1,64,50,0.0039,0.8546,1854.7873,0.0329
20,GRU,1,64,50,0.0042,0.845,1904.2952,0.0332
21,GRU Sent,2,64,100,0.0054,0.8822,2174.7442,0.0418
22,GRU Sent,2,32,100,0.006,0.8695,2324.8101,0.0441
23,GRU Sent,1,64,100,0.0069,0.8486,2479.8663,0.0464
24,LSTM,1,32,100,0.0041,0.8484,1829.068,0.0326
25,LSTM,1,64,100,0.0038,0.8563,1847.4281,0.0328
26,LSTM,1,64,100,0.0039,0.8559,1846.4902,0.0329
27,LSTM Sent,1,64,100,0.0057,0.8741,2268.8151,0.0433
28,LSTM Sent,1,32,100,0.0058,0.8709,2299.939,0.0436
29,LSTM Sent,1,32,50,0.0061,0.8658,2326.1816,0.0444
