Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
LSTM AVG 10/50,1,32,50,0.007635539523759619,0.7081670412629617,2823.243960503472,0.05116991145105668
LSTM AVG 10/50,2,32,50,0.006852031925371704,0.7402433651765513,2544.2108208626764,0.046798724706712536
LSTM AVG 10/50,3,32,50,0.006622086397431642,0.7505260204135575,2403.912151785714,0.04188464417755687
LSTM AVG 10/50,5,32,50,0.006189328141137287,0.7663414862124165,2335.244271599264,0.041236052166112216
LSTM AVG 10/50,10,32,50,0.0070631240657374255,0.7340914154448723,2662.3230357142847,0.04679998819316985
LSTM AVG 10/50,3,32,50,0.00703084947760337,0.7280976791180562,2551.7650837862316,0.04657641694641872
LSTM AVG 10/50,3,64,50,0.013189454005815317,0.48992747366150535,3780.1082880434783,0.06906080559337718
LSTM AVG 10/50,3,32,100,0.00748730631988529,0.7104452353850119,2697.3407019927536,0.04917501393023562
LSTM AVG 10/50,3,64,100,0.00608443630630386,0.7646980840348878,2325.441904438406,0.04157544234009852
LSTM AVG 10/50,3,32,150,0.01229356796710944,0.524573855147245,3558.061084692028,0.0654217330266222
LSTM AVG 10/50,3,64,150,0.009903040298968603,0.6170221465195073,3020.927384510869,0.05103313221666
LSTM AVG 10/50,3,32,200,0.007755593545519818,0.7000698291776424,2652.0070833333334,0.04800394455595238
LSTM AVG 10/50,3,64,200,0.00687709185408758,0.7340439100564955,2456.8197667572454,0.043394832733400036
LSTM AVG 10/50,3,32,50,0.007180112933321996,0.7351577540344942,2538.967205882353,0.04635586319785232
LSTM AVG 10/50,3,64,50,0.004543186818754808,0.8324221621451278,1938.002732077206,0.03413670526988538
LSTM AVG 10/50,3,32,100,0.00815847784829829,0.6990702490241391,2590.833609834559,0.044216381738121556
LSTM AVG 10/50,3,64,100,0.00885956518039828,0.6732102736483174,2734.213072150736,0.0468930098421553
LSTM AVG 10/50,3,32,150,0.006195433106301971,0.7714781879004631,2269.913373161765,0.04004578604221052
LSTM AVG 10/50,3,64,150,0.006595869515668406,0.7567078801061673,2460.6242968750003,0.04392032121849842
LSTM AVG 10/50,3,32,200,0.008636511312744066,0.6814377329974146,2810.171266084559,0.05138012146637521
LSTM AVG 10/50,3,64,200,0.006112562844625568,0.7745349011346341,2317.6479090073535,0.041350730131688315
LSTM AVG 10/50,1,64,50,0.003712649402534729,0.861451965956561,1826.6440915178573,0.03229626095829269
LSTM AVG 10/50,2,64,50,0.00448763676947715,0.8336413075219109,1973.984411231885,0.03429458995825061
LSTM AVG 10/50,3,64,50,0.006039268394003749,0.7772384055362715,2315.702626378677,0.04176272591662132
LSTM AVG 10/50,4,64,50,0.005948465432120419,0.7791612691178884,2228.208213619403,0.039886132412672755
LSTM AVG 10/50,5,64,50,0.007932913466303752,0.699696886371215,2772.6427225378793,0.04761489639689544
LSTM AVG 10/50,6,64,50,0.00543276244078979,0.7947273940367161,2072.470247596154,0.03708330999687261
LSTM AVG 10/50,7,64,50,0.004816418702100771,0.8195368372285959,1989.728393554688,0.03546339283662398
LSTM AVG 10/50,8,64,50,0.01184971718388422,0.5587412769755227,3391.6464335317455,0.06274602464505895
LSTM AVG 10/50,1,64,50,0.003960639752363579,0.8521975032520906,1863.9009352678574,0.03276353555624788
LSTM AVG 10/50,2,64,50,0.005165896375936659,0.8084979220191547,2103.407339221015,0.03806742079206988
LSTM AVG 10/50,3,64,50,0.007100077052966769,0.7381099196212961,2478.219632352941,0.042515257297698755
LSTM AVG 10/50,4,64,50,0.012591821748605646,0.5325244861573317,3509.9394216417913,0.05924533672116171
LSTM AVG 10/50,5,64,50,0.005577963386731533,0.788844315539556,2126.1191595643945,0.03823553029571312
LSTM AVG 10/50,6,64,50,0.006104929610915044,0.7693300923585447,2152.8553389423073,0.039490361572284874
LSTM AVG 10/50,7,64,50,0.015595487697608315,0.4156631287796134,4019.5361157226566,0.06821453110104159
LSTM AVG 10/50,8,64,50,0.00583647954111704,0.7826616897849369,2306.87429811508,0.040171493558233025
LSTM AVG 10/50,1,64,50,0.003985096034197325,0.8512848477867605,1903.9239352678571,0.03386085380074882
LSTM AVG 10/50,2,64,50,0.0043996038977921715,0.8369047252584383,1927.7867753623188,0.03410999655342419
LSTM AVG 10/50,3,64,50,0.007073351016568969,0.7390957235454239,2494.8768405330884,0.04561607841789409
LSTM AVG 10/50,4,64,50,0.006562367276460812,0.7563699617231687,2320.536937966419,0.0420525603086921
LSTM AVG 10/50,5,64,50,0.006381451467853453,0.7584280033549538,2413.5813944128795,0.041831901818637614
LSTM AVG 10/50,6,64,50,0.005520566323379311,0.7914097941988286,2087.8598822115387,0.037419586418238907
LSTM AVG 10/50,7,64,50,0.00603243858520223,0.7739746036126343,2261.8873364257815,0.03985770410434443
LSTM AVG 10/50,8,64,50,0.00520414786362069,0.8062084010026054,2166.317368551587,0.03813023257672684
